16-10-2019 15:09:07 INFO  HTSEngine:596 - Number of models in sentence numModel=64  Total number of states numState=320
16-10-2019 15:09:07 INFO  HTSEngine:598 - Total number of frames=1332  Number of voiced frames=780
16-10-2019 15:09:07 INFO  ParameterGeneration:309 - Parameter generation for MGC: 
16-10-2019 15:09:07 INFO  PStream:273 - Global variance optimization
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (0)  number of iterations=23
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (1)  number of iterations=2
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (2)  number of iterations=19
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (3)  number of iterations=22
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (4)  number of iterations=2
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (5)  number of iterations=17
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (6)  number of iterations=14
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (7)  number of iterations=16
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (8)  number of iterations=18
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (9)  number of iterations=13
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (10)  number of iterations=12
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (11)  number of iterations=9
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (12)  number of iterations=19
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (13)  number of iterations=4
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (14)  number of iterations=4
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (15)  number of iterations=10
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (16)  number of iterations=8
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (17)  number of iterations=3
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (18)  number of iterations=17
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (19)  number of iterations=8
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (20)  number of iterations=14
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (21)  number of iterations=5
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (22)  number of iterations=25
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (23)  number of iterations=5
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (24)  number of iterations=19
16-10-2019 15:09:07 INFO  ParameterGeneration:459 - Using f0 from maryXML acoustparams
